(LIFT HOIST1 CRATE5 CRATE3 DEPOT0)
(LOAD HOIST1 CRATE5 TRUCK1 DEPOT0)
(DRIVE TRUCK1 DEPOT0 DISTRIBUTOR0)
(LIFT HOIST0 CRATE6 CRATE1 DISTRIBUTOR0)
(LOAD HOIST0 CRATE6 TRUCK1 DISTRIBUTOR0)
(LIFT HOIST0 CRATE1 CRATE4 DISTRIBUTOR0)
(LOAD HOIST0 CRATE1 TRUCK1 DISTRIBUTOR0)
(LIFT HOIST0 CRATE4 CRATE7 DISTRIBUTOR0)
(LOAD HOIST0 CRATE4 TRUCK1 DISTRIBUTOR0)
(LIFT HOIST0 CRATE7 CRATE0 DISTRIBUTOR0)
(LOAD HOIST0 CRATE7 TRUCK1 DISTRIBUTOR0)
(LIFT HOIST0 CRATE0 PALLET1 DISTRIBUTOR0)
(LOAD HOIST0 CRATE0 TRUCK1 DISTRIBUTOR0)
(UNLOAD HOIST0 CRATE7 TRUCK1 DISTRIBUTOR0)
(DROP HOIST0 CRATE7 PALLET1 DISTRIBUTOR0)
(UNLOAD HOIST0 CRATE5 TRUCK1 DISTRIBUTOR0)
(DROP HOIST0 CRATE5 CRATE7 DISTRIBUTOR0)
(UNLOAD HOIST0 CRATE0 TRUCK1 DISTRIBUTOR0)
(DROP HOIST0 CRATE0 CRATE5 DISTRIBUTOR0)
(UNLOAD HOIST0 CRATE4 TRUCK1 DISTRIBUTOR0)
(DROP HOIST0 CRATE4 CRATE0 DISTRIBUTOR0)
(LIFT HOIST1 CRATE3 CRATE2 DEPOT0)
(LOAD HOIST1 CRATE3 TRUCK0 DEPOT0)
(LIFT HOIST1 CRATE2 PALLET0 DEPOT0)
(DRIVE TRUCK1 DISTRIBUTOR0 DEPOT0)
(LOAD HOIST1 CRATE2 TRUCK1 DEPOT0)
(UNLOAD HOIST1 CRATE6 TRUCK1 DEPOT0)
(DROP HOIST1 CRATE6 PALLET0 DEPOT0)
(UNLOAD HOIST1 CRATE3 TRUCK0 DEPOT0)
(DROP HOIST1 CRATE3 CRATE6 DEPOT0)
(UNLOAD HOIST1 CRATE1 TRUCK1 DEPOT0)
(DRIVE TRUCK1 DEPOT0 DISTRIBUTOR0)
(UNLOAD HOIST0 CRATE2 TRUCK1 DISTRIBUTOR0)
(DROP HOIST1 CRATE1 CRATE3 DEPOT0)
(DROP HOIST0 CRATE2 CRATE4 DISTRIBUTOR0)
