(FLY PLANE3 CITY0 CITY1 FL6 FL5)
(FLY PLANE2 CITY4 CITY2 FL4 FL3)
(BOARD PERSON2 PLANE2 CITY2)
(BOARD PERSON1 PLANE2 CITY2)
(FLY PLANE2 CITY2 CITY0 FL3 FL2)
(BOARD PERSON5 PLANE2 CITY0)
(DEBARK PERSON1 PLANE2 CITY0)
(FLY PLANE2 CITY0 CITY1 FL2 FL1)
(DEBARK PERSON2 PLANE2 CITY1)
(FLY PLANE2 CITY1 CITY3 FL1 FL0)
(BOARD PERSON7 PLANE2 CITY3)
(REFUEL PLANE2 CITY3 FL0 FL1)
(FLY PLANE2 CITY3 CITY4 FL1 FL0)
(DEBARK PERSON7 PLANE2 CITY4)
(DEBARK PERSON5 PLANE2 CITY4)
(FLY PLANE1 CITY1 CITY4 FL6 FL5)
(BOARD PERSON4 PLANE1 CITY4)
(FLY PLANE1 CITY4 CITY3 FL5 FL4)
(BOARD PERSON6 PLANE1 CITY3)
(DEBARK PERSON4 PLANE1 CITY3)
(FLY PLANE1 CITY3 CITY1 FL4 FL3)
(DEBARK PERSON6 PLANE1 CITY1)
