(LOAD-TRUCK PACKAGE3 TRUCK3 S1)
(BOARD-TRUCK DRIVER3 TRUCK1 S2)
(DRIVE-TRUCK TRUCK1 S2 S0 DRIVER3)
(BOARD-TRUCK DRIVER2 TRUCK2 S0)
(DRIVE-TRUCK TRUCK2 S0 S2 DRIVER2)
(LOAD-TRUCK PACKAGE1 TRUCK2 S2)
(DRIVE-TRUCK TRUCK2 S2 S1 DRIVER2)
(DISEMBARK-TRUCK DRIVER2 TRUCK2 S1)
(UNLOAD-TRUCK PACKAGE1 TRUCK2 S1)
(BOARD-TRUCK DRIVER2 TRUCK3 S1)
(BOARD-TRUCK DRIVER1 TRUCK2 S1)
(DRIVE-TRUCK TRUCK3 S1 S0 DRIVER2)
(LOAD-TRUCK PACKAGE5 TRUCK3 S0)
(UNLOAD-TRUCK PACKAGE3 TRUCK3 S0)
(DRIVE-TRUCK TRUCK3 S0 S1 DRIVER2)
(DISEMBARK-TRUCK DRIVER2 TRUCK3 S1)
(DRIVE-TRUCK TRUCK2 S1 S2 DRIVER1)
(UNLOAD-TRUCK PACKAGE5 TRUCK3 S1)
(DISEMBARK-TRUCK DRIVER1 TRUCK2 S2)
