(LIFT HOIST0 CRATE0 CRATE5 DEPOT0)
(LOAD HOIST0 CRATE0 TRUCK0 DEPOT0)
(LIFT HOIST0 CRATE5 CRATE7 DEPOT0)
(LOAD HOIST0 CRATE5 TRUCK0 DEPOT0)
(LIFT HOIST0 CRATE7 CRATE6 DEPOT0)
(LOAD HOIST0 CRATE7 TRUCK0 DEPOT0)
(LIFT HOIST0 CRATE6 PALLET1 DEPOT0)
(LOAD HOIST0 CRATE6 TRUCK0 DEPOT0)
(UNLOAD HOIST0 CRATE7 TRUCK0 DEPOT0)
(DROP HOIST0 CRATE7 PALLET1 DEPOT0)
(LIFT HOIST1 CRATE2 CRATE3 DISTRIBUTOR0)
(LOAD HOIST1 CRATE2 TRUCK1 DISTRIBUTOR0)
(LIFT HOIST1 CRATE3 CRATE4 DISTRIBUTOR0)
(LOAD HOIST1 CRATE3 TRUCK1 DISTRIBUTOR0)
(LIFT HOIST1 CRATE4 CRATE1 DISTRIBUTOR0)
(LOAD HOIST1 CRATE4 TRUCK1 DISTRIBUTOR0)
(LIFT HOIST1 CRATE1 PALLET0 DISTRIBUTOR0)
(LOAD HOIST1 CRATE1 TRUCK1 DISTRIBUTOR0)
(DRIVE TRUCK0 DEPOT0 DISTRIBUTOR0)
(UNLOAD HOIST1 CRATE6 TRUCK0 DISTRIBUTOR0)
(DROP HOIST1 CRATE6 PALLET0 DISTRIBUTOR0)
(UNLOAD HOIST1 CRATE0 TRUCK0 DISTRIBUTOR0)
(DROP HOIST1 CRATE0 CRATE6 DISTRIBUTOR0)
(UNLOAD HOIST1 CRATE4 TRUCK1 DISTRIBUTOR0)
(DROP HOIST1 CRATE4 CRATE0 DISTRIBUTOR0)
(DRIVE TRUCK1 DISTRIBUTOR0 DEPOT0)
(UNLOAD HOIST0 CRATE1 TRUCK1 DEPOT0)
(DROP HOIST0 CRATE1 CRATE7 DEPOT0)
(UNLOAD HOIST0 CRATE3 TRUCK1 DEPOT0)
(DROP HOIST0 CRATE3 CRATE1 DEPOT0)
(UNLOAD HOIST0 CRATE2 TRUCK1 DEPOT0)
(DROP HOIST0 CRATE2 CRATE3 DEPOT0)
