(LIFT HOIST1 CRATE1 PALLET4 DISTRIBUTOR0)
(LOAD HOIST1 CRATE1 TRUCK2 DISTRIBUTOR0)
(DRIVE TRUCK2 DISTRIBUTOR0 DEPOT0)
(LIFT HOIST5 CRATE0 PALLET2 DEPOT0)
(LOAD HOIST5 CRATE0 TRUCK2 DEPOT0)
(UNLOAD HOIST5 CRATE1 TRUCK2 DEPOT0)
(DRIVE TRUCK2 DEPOT0 DISTRIBUTOR1)
(DROP HOIST5 CRATE1 PALLET2 DEPOT0)
(LIFT HOIST3 CRATE2 PALLET1 DISTRIBUTOR1)
(LOAD HOIST3 CRATE2 TRUCK2 DISTRIBUTOR1)
(UNLOAD HOIST3 CRATE0 TRUCK2 DISTRIBUTOR1)
(DRIVE TRUCK2 DISTRIBUTOR1 DISTRIBUTOR2)
(UNLOAD HOIST2 CRATE2 TRUCK2 DISTRIBUTOR2)
(DROP HOIST3 CRATE0 PALLET1 DISTRIBUTOR1)
(DROP HOIST2 CRATE2 PALLET3 DISTRIBUTOR2)
