(WALK DRIVER1 S10 P0-8)
(WALK DRIVER1 P0-8 S6)
(BOARD-TRUCK DRIVER1 TRUCK3 S6)
(DRIVE-TRUCK TRUCK3 S6 S1 DRIVER1)
(LOAD-TRUCK PACKAGE1 TRUCK3 S1)
(DRIVE-TRUCK TRUCK3 S1 S9 DRIVER1)
(LOAD-TRUCK PACKAGE3 TRUCK3 S9)
(LOAD-TRUCK PACKAGE2 TRUCK3 S9)
(DRIVE-TRUCK TRUCK3 S9 S2 DRIVER1)
(UNLOAD-TRUCK PACKAGE3 TRUCK3 S2)
(DRIVE-TRUCK TRUCK3 S2 S6 DRIVER1)
(DRIVE-TRUCK TRUCK3 S6 S7 DRIVER1)
(UNLOAD-TRUCK PACKAGE1 TRUCK3 S7)
(DRIVE-TRUCK TRUCK3 S7 S0 DRIVER1)
(UNLOAD-TRUCK PACKAGE2 TRUCK3 S0)
(DISEMBARK-TRUCK DRIVER1 TRUCK3 S0)
(BOARD-TRUCK DRIVER1 TRUCK2 S0)
(DRIVE-TRUCK TRUCK2 S0 S8 DRIVER1)
(LOAD-TRUCK PACKAGE6 TRUCK2 S8)
(DRIVE-TRUCK TRUCK2 S8 S5 DRIVER1)
(DRIVE-TRUCK TRUCK2 S5 S3 DRIVER1)
(UNLOAD-TRUCK PACKAGE6 TRUCK2 S3)
(DISEMBARK-TRUCK DRIVER1 TRUCK2 S3)
(WALK DRIVER1 S3 P0-1)
(WALK DRIVER1 P0-1 S0)
(BOARD-TRUCK DRIVER1 TRUCK3 S0)
(DRIVE-TRUCK TRUCK3 S0 S8 DRIVER1)
(DISEMBARK-TRUCK DRIVER1 TRUCK3 S8)
(WALK DRIVER1 S8 P6-7)
(WALK DRIVER1 P6-7 S2)
